number,BUYER_COUNTY,avg_population,pillsperperson,countyfips
1,ADAIR,18531,53,001
2,ALLEN,19706,68,003
3,ANDERSON,21200,55,005
4,BALLARD,8236,46,007
5,BARREN,41790,78,009
6,BATH,11634,30,011
7,BELL,28720,153,013
8,BOONE,116108,63,015
9,BOURBON,19925,49,017
10,BOYD,49221,102,019
11,BOYLE,28470,83,021
12,BRACKEN,8492,19,023
13,BREATHITT,14266,108,025
14,BRECKINRIDGE,19845,48,027
15,BULLITT,73300,41,029
16,BUTLER,12841,80,031
17,CALDWELL,12913,87,033
18,CALLOWAY,36890,58,035
19,CAMPBELL,89222,54,037
20,CARLISLE,5113,42,039
21,CARROLL,10726,82,041
22,CARTER,27657,49,043
23,CASEY,15995,40,045
24,CHRISTIAN,73742,42,047
25,CLARK,35368,70,049
26,CLAY,22249,134,051
27,CLINTON,10087,149,053
28,CRITTENDEN,9284,121,055
29,CUMBERLAND,6903,94,057
30,DAVIESS,95664,59,059
31,EDMONSON,12078,38,061
32,ELLIOTT,7618,34,063
33,ESTILL,14715,70,065
34,FAYETTE,291220,39,067
35,FLEMING,14398,47,069
36,FLOYD,40029,163,071
37,FRANKLIN,49115,49,073
38,FULTON,6805,98,075
39,GALLATIN,8403,35,077
40,GARRARD,16848,35,079
41,GRANT,24678,88,081
42,GRAVES,37133,55,083
43,GRAYSON,25597,76,085
44,GREEN,11363,39,087
45,GREENUP,36969,59,089
46,HANCOCK,8579,14,091
47,HARDIN,101816,39,093
48,HARLAN,29645,78,095
49,HARRISON,18702,43,097
50,HART,18263,28,099
51,HENDERSON,45960,85,101
52,HENRY,15502,37,103
53,HICKMAN,4909,27,105
54,HOPKINS,46782,98,107
55,JACKSON,13510,50,109
56,JEFFERSON,731590,60,111
57,JESSAMINE,47367,51,113
58,JOHNSON,23399,140,115
59,KENTON,158574,52,117
60,KNOTT,16565,44,119
61,KNOX,31836,61,121
62,LARUE,14037,42,123
63,LAUREL,58299,63,125
64,LAWRENCE,15905,100,127
65,LEE,7753,135,129
66,LESLIE,11432,118,131
67,LETCHER,24303,85,133
68,LEWIS,13936,37,135
69,LINCOLN,24757,43,137
70,LIVINGSTON,9508,85,139
71,LOGAN,26850,41,141
72,LYON,8376,61,143
73,MADISON,82262,53,151
74,MAGOFFIN,13223,46,153
75,MARION,19653,52,155
76,MARSHALL,31316,63,157
77,MARTIN,13081,56,159
78,MASON,17356,54,161
79,MCCRACKEN,65259,106,145
80,MCCREARY,18117,63,147
81,MCLEAN,9623,29,149
82,MEADE,28862,29,163
83,MENIFEE,6445,36,165
84,MERCER,21323,50,167
85,METCALFE,10110,30,169
86,MONROE,11098,82,171
87,MONTGOMERY,26013,84,173
88,MORGAN,13974,41,175
89,MUHLENBERG,31480,83,177
90,NELSON,42842,55,179
91,NICHOLAS,7094,33,181
92,OHIO,23848,68,183
93,OLDHAM,59036,30,185
94,OWEN,10940,34,187
95,OWSLEY,4730,123,189
96,PENDLETON,14843,25,191
97,PERRY,28691,178,193
98,PIKE,65121,144,195
99,POWELL,12838,72,197
100,PULASKI,62115,67,199
101,ROBERTSON,2260,null,201
102,ROCKCASTLE,17006,103,203
103,ROWAN,23096,51,205
104,RUSSELL,17444,77,207
105,SCOTT,45439,47,209
106,SHELBY,41370,44,211
107,SIMPSON,17254,70,213
108,SPENCER,16768,34,215
109,TAYLOR,24357,55,217
110,TODD,12312,41,219
111,TRIGG,14048,48,221
112,TRIMBLE,8869,20,223
113,UNION,15109,81,225
114,WARREN,110537,50,227
115,WASHINGTON,11625,24,229
116,WAYNE,20713,65,231
117,WEBSTER,13698,61,233
118,WHITLEY,36188,185,235
119,WOLFE,7275,100,237
120,WOODFORD,24618,33,239